layer,meshX,meshY,glb_depth,dataflow,ok,macs,energy_uJ,cycles,area_um2,pe_utilization,footprint_bytes,arith_intensity,edp
conv_standard,4,4,1024,ws,True,320000,1.3864736000000002,20000,49483.896,100.0,10832,29.542097488921712,27729.472000000005
conv_depthwise,4,4,1024,ws,True,72000,1.52503344,8000,49483.896,56.25,20672,3.48297213622291,12200.267520000001
conv_pointwise,4,4,1024,ws,True,512000,2.50945024,32000,49483.896,100.0,20096,25.477707006369428,80302.40768
conv_fc,4,4,1024,ws,True,768,0.057728440320000005,60,49483.896,80.0,844,0.909952606635071,3.4637064192
conv_standard,4,4,2048,ws,True,320000,1.4538271999999999,20000,73970.296,100.0,10832,29.542097488921712,29076.543999999998
conv_depthwise,4,4,2048,ws,True,72000,1.5820142400000001,8000,73970.296,56.25,20672,3.48297213622291,12656.113920000002
conv_pointwise,4,4,2048,ws,True,512000,2.47707136,32000,73970.296,100.0,20096,25.477707006369428,79266.28352
conv_fc,4,4,2048,ws,True,768,0.058684869120000004,60,73970.296,80.0,844,0.909952606635071,3.5210921472
conv_standard,4,4,4096,ws,True,320000,1.5232672,20000,118099.59599999999,100.0,10832,29.542097488921712,30465.344
conv_depthwise,4,4,4096,ws,True,72000,1.64349072,8000,118099.59599999999,56.25,20672,3.48297213622291,13147.92576
conv_pointwise,4,4,4096,ws,True,512000,2.5786624,32000,118099.59599999999,100.0,20096,25.477707006369428,82517.19679999999
conv_fc,4,4,4096,ws,True,768,0.059835924480000004,60,118099.59599999999,80.0,844,0.909952606635071,3.5901554688000004
conv_standard,8,8,1024,ws,True,320000,1.3644608,10000,118781.784,50.0,10832,29.542097488921712,13644.608
conv_depthwise,8,8,1024,ws,True,72000,1.5126444000000001,2400,118781.784,46.88,20672,3.48297213622291,3630.3465600000004
conv_pointwise,8,8,1024,ws,True,512000,2.3248588800000003,8000,118781.784,100.0,20096,25.477707006369428,18598.87104
conv_fc,8,8,1024,ws,True,768,0.057671155200000004,56,118781.784,21.43,844,0.909952606635071,3.2295846912000004
conv_standard,8,8,2048,ws,True,320000,1.4064864,8000,143268.184,62.5,10832,29.542097488921712,11251.8912
conv_depthwise,8,8,2048,ws,True,72000,1.54491264,2400,143268.184,46.88,20672,3.48297213622291,3707.790336
conv_pointwise,8,8,2048,ws,True,512000,2.38383104,16000,143268.184,50.0,20096,25.477707006369428,38141.29664
conv_fc,8,8,2048,ws,True,768,0.0585837696,56,143268.184,21.43,844,0.909952606635071,3.2806910976
conv_standard,8,8,4096,ws,True,320000,1.45192,8000,187397.48400000003,62.5,10832,29.542097488921712,11615.36
conv_depthwise,8,8,4096,ws,True,72000,1.58185944,2400,187397.48400000003,46.88,20672,3.48297213622291,3796.4626559999997
conv_pointwise,8,8,4096,ws,True,512000,2.44192768,16000,187397.48400000003,50.0,20096,25.477707006369428,39070.842880000004
conv_fc,8,8,4096,ws,True,768,0.059691333119999995,56,187397.48400000003,21.43,844,0.909952606635071,3.34271465472
conv_standard,8,16,1024,ws,True,320000,1.3644608,10000,211178.96799999996,25.0,10832,29.542097488921712,13644.608
conv_depthwise,8,16,1024,ws,True,72000,1.5126444000000001,2400,211178.96799999996,23.44,20672,3.48297213622291,3630.3465600000004
conv_pointwise,8,16,1024,ws,True,512000,2.3143321599999997,4256,211178.96799999996,93.98,20096,25.477707006369428,9849.79767296
conv_fc,8,16,1024,ws,True,768,0.057621757440000004,53,211178.96799999996,11.32,844,0.909952606635071,3.0539531443200003
conv_standard,8,16,2048,ws,True,320000,1.4685792000000002,8000,235665.368,31.25,10832,29.542097488921712,11748.633600000001
conv_depthwise,8,16,2048,ws,True,72000,1.5273367199999999,2136,235665.368,26.33,20672,3.48297213622291,3262.3912339199996
conv_pointwise,8,16,2048,ws,True,512000,2.3680409600000005,4256,235665.368,93.98,20096,25.477707006369428,10078.382325760002
conv_fc,8,16,2048,ws,True,768,0.05849055744000001,53,235665.368,11.32,844,0.909952606635071,3.0999995443200006
conv_standard,8,16,4096,ws,True,320000,1.5411968000000003,8000,279794.668,31.25,10832,29.542097488921712,12329.574400000001
conv_depthwise,8,16,4096,ws,True,72000,1.5627175199999999,2136,279794.668,26.33,20672,3.48297213622291,3337.9646227199996
conv_pointwise,8,16,4096,ws,True,512000,2.4261376000000006,4256,279794.668,93.98,20096,25.477707006369428,10325.641625600003
conv_fc,8,16,4096,ws,True,768,0.059554636800000005,53,279794.668,11.32,844,0.909952606635071,3.1563957504
conv_standard,16,16,1024,ws,True,320000,1.3644608,10000,395973.336,12.5,10832,29.542097488921712,13644.608
conv_depthwise,16,16,1024,ws,True,72000,1.5126444000000001,2400,395973.336,11.72,20672,3.48297213622291,3630.3465600000004
conv_pointwise,16,16,1024,ws,True,512000,2.4842496,17281,395973.336,11.57,20096,25.477707006369428,42930.3173376
conv_fc,16,16,1024,ws,True,768,0.057621757440000004,53,395973.336,5.66,844,0.909952606635071,3.0539531443200003
conv_standard,16,16,2048,ws,True,320000,1.4685792000000002,8000,420459.736,15.62,10832,29.542097488921712,11748.633600000001
conv_depthwise,16,16,2048,ws,True,72000,1.5273367199999999,2136,420459.736,13.17,20672,3.48297213622291,3262.3912339199996
conv_pointwise,16,16,2048,ws,True,512000,2.3680409600000005,4256,420459.736,46.99,20096,25.477707006369428,10078.382325760002
conv_fc,16,16,2048,ws,True,768,0.05849055744000001,53,420459.736,5.66,844,0.909952606635071,3.0999995443200006
conv_standard,16,16,4096,ws,True,320000,1.5411968000000003,8000,464589.036,15.62,10832,29.542097488921712,12329.574400000001
conv_depthwise,16,16,4096,ws,True,72000,1.5627175199999999,2136,464589.036,13.17,20672,3.48297213622291,3337.9646227199996
conv_pointwise,16,16,4096,ws,True,512000,2.4261376000000006,4256,464589.036,46.99,20096,25.477707006369428,10325.641625600003
conv_fc,16,16,4096,ws,True,768,0.059554636800000005,53,464589.036,5.66,844,0.909952606635071,3.1563957504
