regime,array,layer,meshX,meshY,pe_utilization,cycles,energy_uJ,macs,ok
free,4x4,conv_standard,4,4,100.0,20000,1.4538271999999999,320000,True
cxm,4x4,conv_standard,4,4,25.0,80000,1.4617312,320000,True
free,4x4,conv_depthwise,4,4,56.25,8000,1.5820142400000001,72000,True
cxm,4x4,conv_depthwise,4,4,25.0,18000,1.5925399199999999,72000,True
free,4x4,conv_pointwise,4,4,100.0,32000,2.47707136,512000,True
cxm,4x4,conv_pointwise,4,4,25.0,128000,2.6927667200000003,512000,True
free,8x8,conv_standard,8,8,62.5,8000,1.4064864,320000,True
cxm,8x8,conv_standard,8,8,12.5,40000,1.4034432,320000,True
free,8x8,conv_depthwise,8,8,46.88,2400,1.54491264,72000,True
cxm,8x8,conv_depthwise,8,8,6.25,18000,1.5925399199999999,72000,True
free,8x8,conv_pointwise,8,8,50.0,16000,2.38383104,512000,True
cxm,8x8,conv_pointwise,8,8,12.5,64000,2.46121984,512000,True
free,8x16,conv_standard,8,16,31.25,8000,1.4685792000000002,320000,True
cxm,8x16,conv_standard,8,16,12.5,20000,1.3742976,320000,True
free,8x16,conv_depthwise,8,16,26.33,2136,1.5273367199999999,72000,True
cxm,8x16,conv_depthwise,8,16,12.4,4536,1.59253344,72000,True
free,8x16,conv_pointwise,8,16,93.98,4256,2.3680409600000005,512000,True
cxm,8x16,conv_pointwise,8,16,12.5,32000,2.44589056,512000,True
free,16x16,conv_standard,16,16,15.62,8000,1.4685792000000002,320000,True
cxm,16x16,conv_standard,16,16,6.25,20000,1.3742976,320000,True
free,16x16,conv_depthwise,16,16,13.17,2136,1.5273367199999999,72000,True
cxm,16x16,conv_depthwise,16,16,6.2,4536,1.59253344,72000,True
free,16x16,conv_pointwise,16,16,46.99,4256,2.3680409600000005,512000,True
cxm,16x16,conv_pointwise,16,16,6.25,32000,2.44589056,512000,True
